"date_time","player_killed","zone","player_killer","weapon_used","damage_type"
"2/16/2025 7:47:30 PM","whappened","AEGS_Sabre","Raider_Nivide","KRIG_BallisticGatling_S3","VehicleDestruction"
"2/16/2025 7:50:20 PM","SKELETO_VR","pyro3","SKELETO_VR","SKELETO_VR","Suicide"
"2/16/2025 7:58:40 PM","Agroth","RastarInteriorGridHost","Agroth","Agroth","Suicide"
"2/16/2025 8:19:30 PM","Code117","ANVL_Lightning_F8C_Exec_Military","HoodlumX25","KLWE_LaserRepeater_S4","VehicleDestruction"
"2/16/2025 8:19:55 PM","Raider_Nivide","ANVL_Hornet_F7A_Mk2","xHellshocked","Gravity","Crash (Shot Down)"
"2/16/2025 8:21:05 PM","xHellshocked","DRAK_Corsair","HoodlumX25","KLWE_LaserRepeater_S2","Crash"
"2/16/2025 8:42:00 PM","BorroKriger","MRAI_Guardian","Keefernix","Raider_Nivide","VehicleDestruction"
"2/16/2025 8:55:00 PM","Code117","ANVL_Lightning_F8C_Exec_Military","Keefernix","KLWE_LaserRepeater_S3","VehicleDestruction"
"2/16/2025 9:04:05 PM","GrimmwoIfe","RSI_Constellation_Taurus","Raider_Nivide","MRCK_S03_AEGS_Sabre_Firebird","Explosion"
